id,meaning_en,meaning_ja,word_class,english_word_id,parent_id
1,Existence.,存在。,noun,1,NULL
2,The nature or essence of a person.,人の本質または本質。,noun,1,NULL
3,"A real or imaginary living creature or entity, especially an intelligent one.",実在する、または架空の生き物またはエンティティ、特にインテリジェントなもの。,noun,1,NULL
4,"The governing body of a nation, state, or community.",国、州、またはコミュニティの統治機関。,noun,2,NULL
5,Having been discovered by chance or unexpectedly.,偶然または予期せず発見された。,adjective,3,NULL
6,(of a ship) equipped; supplied.,（船の）装備;供給。,adjective,3,NULL
7,"Establish or originate (an institution or organization), especially by providing an endowment.",特に寄付を提供することにより、（組織または組織を）設立または創設する。,transitive verb,3,NULL
8,Construct or base (a principle or other abstract thing) according to a particular principle or grounds.,特定の原則または根拠に従って（原則またはその他の抽象的なもの）を構築または基盤化します。,transitive verb,3,NULL
9,Melt and mold (metal).,溶かして成形する（金属）。,transitive verb,3,NULL
10,Specified or stated.,指定または記載。,adjective,4,NULL
11,Inclined or disposed to.,傾いたまたは処分された。,adjective,4,NULL
12,(of a document) signed and dated.,（文書の）署名され、日付が記入されています。,adjective,4,NULL
13,Taking into account.,考慮に入れます。,preposition,4,NULL
14,A known or established fact or situation.,既知または確立された事実または状況。,noun,4,NULL
15,The particular condition that someone or something is in at a specific time.,誰かまたは何かが特定の時間にある特定の状態。,noun,5,NULL
16,"An advisory, deliberative, or legislative body of people formally constituted and meeting regularly.",公式に構成され定期的に会合する人々の諮問、審議、または立法機関。,noun,6,NULL
17,Able to be used or obtained; at someone's disposal.,使用または入手できる。誰かの処分で。,adjective,7,NULL
18,"A hand tool for cutting wood or other materials, typically with a long, thin serrated steel blade and operated using a backward and forward movement.",木材やその他の材料を切断するための手工具です。通常、細長い鋸歯状の鋼の刃を使用し、前後の動きで操作します。,noun,8,NULL
19,"A member of the clergy, especially in Protestant churches.",特にプロテスタント教会の聖職者のメンバー。,noun,9,NULL
20,(in certain countries) a head of a government department.,（特定の国では）政府部門の長。,noun,9,NULL
21,A person or thing used to achieve or convey something.,何かを達成または伝達するために使用される人または物。,noun,9,NULL
22,Attend to the needs of (someone),（誰か）のニーズに対応する,intransitive verb,9,NULL
23,Act as a minister of religion.,宗教大臣として行動する。,intransitive verb,9,NULL
24,An action or system by which a result is brought about; a method.,結果をもたらすアクションまたはシステム。方法。,plural noun,10,NULL
25,Money; financial resources.,お金;財源。,plural noun,10,NULL
26,For that reason; consequently.,そのため、結果として。,adverb,11,NULL
